Product_ID,Product_Name,Category,Brand,Cost_Price,Selling_Price,Discount_Percentage,Stock_Available,Rating,Launch_Date
P0001,iPhone 15 V1,Electronics,Samsung,4479,5468,8,803,4.9,2026-04-18
P0002,iPhone 15 V2,Electronics,Nestle,4259,7498,10,731,3.4,2025-01-20
P0003,iPhone 15 V3,Electronics,Boat,1086,1423,5,778,4.9,2025-08-05
P0004,iPhone 15 V4,Electronics,LG,1821,2253,10,300,3.4,2026-04-30
P0005,iPhone 15 V5,Electronics,Apple,505,676,0,149,4.9,2025-05-09
P0006,iPhone 15 V6,Electronics,Apple,1924,2734,7,127,3.3,2025-01-05
P0007,Samsung Galaxy V1,Electronics,Nestle,4283,6448,32,492,4.7,2024-09-01
P0008,Samsung Galaxy V2,Electronics,Nestle,3699,5727,8,414,3.0,2025-02-21
P0009,Samsung Galaxy V3,Electronics,Nestle,707,965,2,263,2.6,2024-06-07
P0010,Samsung Galaxy V4,Electronics,Boat,4078,5781,10,293,4.2,2026-01-11
P0011,Samsung Galaxy V5,Electronics,Boat,1831,2292,3,400,2.9,2025-09-17
P0012,Samsung Galaxy V6,Electronics,Nike,247,328,13,923,3.4,2026-01-29
P0013,Laptop V1,Electronics,Samsung,4680,6597,6,730,4.4,2024-11-21
P0014,Laptop V2,Electronics,Nestle,4746,7602,5,636,2.7,2025-09-13
P0015,Laptop V3,Electronics,Puma,2868,4156,17,711,4.6,2025-10-24
P0016,Laptop V4,Electronics,Samsung,256,459,25,904,4.5,2024-07-22
P0017,Laptop V5,Electronics,Apple,2608,4619,4,698,3.2,2025-07-26
P0018,Laptop V6,Electronics,Samsung,1048,1528,8,836,4.1,2025-07-16
P0019,Smart Watch V1,Electronics,Puma,4732,7081,14,226,3.3,2024-09-15
P0020,Smart Watch V2,Electronics,Puma,2981,3746,13,944,3.0,2026-02-09
P0021,Smart Watch V3,Electronics,Puma,3780,4876,8,705,3.1,2024-10-16
P0022,Smart Watch V4,Electronics,LG,677,828,9,766,3.3,2026-05-20
P0023,Smart Watch V5,Electronics,Nike,4363,7317,12,445,3.9,2024-12-21
P0024,Smart Watch V6,Electronics,Boat,4705,7991,29,432,2.6,2024-05-24
P0025,Bluetooth Speaker V1,Electronics,Puma,3117,5276,10,609,3.3,2026-01-31
P0026,Bluetooth Speaker V2,Electronics,Apple,822,1204,8,502,4.8,2025-05-11
P0027,Bluetooth Speaker V3,Electronics,Boat,469,831,2,552,3.7,2025-11-25
P0028,Bluetooth Speaker V4,Electronics,Puma,4818,6457,7,217,3.8,2025-02-16
P0029,Bluetooth Speaker V5,Electronics,Apple,3379,6069,10,223,3.3,2026-02-01
P0030,Bluetooth Speaker V6,Electronics,Apple,1578,2656,13,617,4.3,2024-12-14
P0031,Earbuds V1,Electronics,Boat,3934,5801,9,680,3.8,2026-03-22
P0032,Earbuds V2,Electronics,Apple,2629,4088,9,748,2.5,2025-06-12
P0033,Earbuds V3,Electronics,Puma,2889,3673,8,233,4.0,2026-04-19
P0034,Earbuds V4,Electronics,Nestle,3700,5437,12,261,2.6,2026-03-09
P0035,Earbuds V5,Electronics,LG,979,1231,7,236,3.7,2026-02-24
P0036,Earbuds V6,Electronics,Boat,4375,7488,14,510,3.7,2024-08-16
P0037,Gaming Mouse V1,Electronics,Apple,2481,4335,20,948,4.4,2025-11-20
P0038,Gaming Mouse V2,Electronics,LG,4658,5758,13,920,3.3,2025-02-17
P0039,Gaming Mouse V3,Electronics,Puma,2846,4933,11,529,3.2,2025-12-10
P0040,Gaming Mouse V4,Electronics,LG,3453,5107,6,604,4.7,2026-04-18
P0041,Gaming Mouse V5,Electronics,Apple,4013,6032,25,675,3.0,2025-09-01
P0042,Gaming Mouse V6,Electronics,Puma,1870,3239,35,155,3.6,2026-03-28
P0043,T-Shirt V1,Fashion,Samsung,3815,4925,5,457,2.5,2024-09-27
P0044,T-Shirt V2,Fashion,Boat,4090,6666,9,446,3.3,2024-11-06
P0045,T-Shirt V3,Fashion,Apple,2472,3224,7,519,2.8,2026-02-22
P0046,T-Shirt V4,Fashion,Boat,1110,1689,12,700,3.4,2024-10-31
P0047,T-Shirt V5,Fashion,LG,4862,6767,12,757,3.5,2026-03-25
P0048,T-Shirt V6,Fashion,Apple,4493,7838,8,929,4.0,2024-11-20
P0049,Jeans V1,Fashion,Samsung,2109,2596,14,479,4.9,2024-09-28
P0050,Jeans V2,Fashion,Nestle,2920,4133,34,468,3.0,2024-10-07
P0051,Jeans V3,Fashion,Puma,2464,4297,6,842,2.9,2024-08-16
P0052,Jeans V4,Fashion,Nestle,3284,5224,9,965,3.1,2025-01-09
P0053,Jeans V5,Fashion,Puma,639,1082,11,942,3.2,2026-05-06
P0054,Jeans V6,Fashion,Apple,3655,4394,26,164,3.8,2025-02-01
P0055,Sneakers V1,Fashion,Samsung,1569,2592,6,605,4.7,2026-01-28
P0056,Sneakers V2,Fashion,Apple,4383,7819,21,600,2.9,2025-05-03
P0057,Sneakers V3,Fashion,LG,1301,1654,13,187,4.6,2025-09-05
P0058,Sneakers V4,Fashion,Apple,2699,4201,2,290,4.2,2025-05-30
P0059,Sneakers V5,Fashion,Boat,4953,7395,6,530,3.9,2025-12-06
P0060,Sneakers V6,Fashion,Nike,1269,1681,5,442,3.7,2024-07-05
P0061,Jacket V1,Fashion,Puma,4433,6547,8,980,4.5,2025-10-15
P0062,Jacket V2,Fashion,Nestle,2590,3173,1,158,4.5,2025-09-08
P0063,Jacket V3,Fashion,Puma,1002,1723,7,640,3.8,2025-09-12
P0064,Jacket V4,Fashion,Puma,4055,6488,11,407,4.8,2026-01-26
P0065,Jacket V5,Fashion,Apple,3243,4692,26,116,2.9,2025-05-09
P0066,Jacket V6,Fashion,LG,2065,2503,9,631,2.7,2026-02-17
P0067,Hoodie V1,Fashion,LG,1511,2552,5,924,4.5,2026-03-02
P0068,Hoodie V2,Fashion,LG,3503,4482,22,847,3.4,2026-04-21
P0069,Hoodie V3,Fashion,Boat,487,732,13,111,3.4,2025-12-16
P0070,Hoodie V4,Fashion,Nestle,2110,3336,18,69,3.4,2025-05-12
P0071,Hoodie V5,Fashion,LG,1332,1828,15,118,4.4,2025-03-04
P0072,Hoodie V6,Fashion,Boat,4930,7190,9,149,2.8,2025-11-14
P0073,Watch V1,Fashion,Boat,3324,5271,32,438,3.7,2025-10-08
P0074,Watch V2,Fashion,Boat,2698,3946,8,936,4.2,2026-02-21
P0075,Watch V3,Fashion,Puma,954,1199,18,719,4.0,2025-07-07
P0076,Watch V4,Fashion,LG,129,194,4,676,2.7,2025-05-20
P0077,Watch V5,Fashion,Puma,3614,5552,15,659,2.6,2025-12-23
P0078,Watch V6,Fashion,LG,4018,5877,10,596,2.6,2026-01-13
P0079,Handbag V1,Fashion,Boat,4308,5618,4,654,3.0,2024-09-13
P0080,Handbag V2,Fashion,Puma,4277,7630,15,623,4.0,2025-06-25
P0081,Handbag V3,Fashion,Nike,4010,6621,9,201,3.7,2024-08-21
P0082,Handbag V4,Fashion,Samsung,1048,1777,9,191,2.8,2024-06-24
P0083,Handbag V5,Fashion,Puma,1230,2213,12,633,4.8,2026-01-16
P0084,Handbag V6,Fashion,Nestle,4539,6457,13,325,4.1,2026-01-08
P0085,Sofa V1,Home,Samsung,630,1052,5,792,4.9,2025-06-14
P0086,Sofa V2,Home,Samsung,277,426,6,669,4.0,2025-03-22
P0087,Sofa V3,Home,LG,4792,8418,6,592,3.4,2025-01-18
P0088,Sofa V4,Home,Nestle,457,599,14,93,2.8,2025-05-04
P0089,Sofa V5,Home,Apple,4439,6139,21,283,4.7,2026-02-08
P0090,Sofa V6,Home,Boat,834,1252,4,187,3.2,2026-01-22
P0091,Dining Table V1,Home,Nike,2132,2647,0,492,4.0,2024-09-09
P0092,Dining Table V2,Home,Apple,2412,4115,1,269,4.4,2026-05-09
P0093,Dining Table V3,Home,Samsung,378,664,5,573,4.8,2025-10-29
P0094,Dining Table V4,Home,Nike,1565,2619,22,938,3.6,2024-11-26
P0095,Dining Table V5,Home,Nike,1882,2505,13,539,4.2,2025-09-08
P0096,Dining Table V6,Home,Nestle,115,170,9,185,4.2,2025-11-03
P0097,Curtains V1,Home,Nestle,3217,5139,12,74,2.8,2025-03-09
P0098,Curtains V2,Home,Apple,4140,6571,14,578,3.3,2026-03-19
P0099,Curtains V3,Home,LG,2138,2876,2,417,4.3,2024-10-06
P0100,Curtains V4,Home,Boat,4972,7859,11,481,4.6,2025-02-01
P0101,Curtains V5,Home,Nike,295,464,11,349,3.5,2025-07-09
P0102,Curtains V6,Home,LG,3622,5734,14,659,3.6,2024-07-13
P0103,Mattress V1,Home,Boat,4267,7245,18,781,3.8,2025-06-30
P0104,Mattress V2,Home,Puma,2227,3932,10,982,2.7,2024-11-23
P0105,Mattress V3,Home,Nestle,3137,4619,2,136,3.5,2024-11-23
P0106,Mattress V4,Home,LG,3216,3913,8,553,4.5,2025-09-01
P0107,Mattress V5,Home,Boat,2008,3023,5,136,3.1,2025-09-25
P0108,Mattress V6,Home,Nike,424,738,17,405,4.4,2024-12-12
P0109,Cookware Set V1,Home,Samsung,659,819,14,365,2.7,2024-11-03
P0110,Cookware Set V2,Home,Samsung,3955,6219,7,947,3.8,2024-10-29
P0111,Cookware Set V3,Home,Samsung,2781,4343,3,363,4.6,2024-06-24
P0112,Cookware Set V4,Home,LG,2744,4468,5,308,4.7,2025-07-19
P0113,Cookware Set V5,Home,Samsung,1985,2557,1,458,3.0,2025-05-21
P0114,Cookware Set V6,Home,LG,1451,2450,6,980,4.3,2025-03-10
P0115,Chair V1,Home,Puma,1397,1708,21,968,3.3,2024-12-16
P0116,Chair V2,Home,LG,1900,3102,24,394,2.7,2025-06-02
P0117,Chair V3,Home,Puma,677,1146,13,897,3.9,2024-09-22
P0118,Chair V4,Home,Boat,180,280,20,162,3.0,2024-07-05
P0119,Chair V5,Home,Samsung,2093,2898,4,320,4.8,2024-07-01
P0120,Chair V6,Home,Nestle,2276,3123,5,925,4.9,2025-09-06
P0121,Lipstick V1,Beauty,Samsung,447,591,12,167,3.1,2026-04-25
P0122,Lipstick V2,Beauty,Boat,1009,1327,15,660,4.2,2025-12-10
P0123,Lipstick V3,Beauty,Nestle,311,455,15,536,2.9,2024-10-25
P0124,Lipstick V4,Beauty,Nike,4459,7890,8,66,4.7,2025-12-21
P0125,Lipstick V5,Beauty,Samsung,2724,4762,13,249,3.5,2024-10-22
P0126,Lipstick V6,Beauty,Nestle,4554,6229,23,463,3.8,2024-12-05
P0127,Face Wash V1,Beauty,Boat,4468,6609,17,453,2.8,2026-01-13
P0128,Face Wash V2,Beauty,Apple,1806,2737,5,274,3.3,2025-09-12
P0129,Face Wash V3,Beauty,Nestle,434,750,8,116,4.5,2024-07-26
P0130,Face Wash V4,Beauty,Boat,381,487,13,328,4.0,2025-12-23
P0131,Face Wash V5,Beauty,Nike,1882,2477,8,633,3.2,2025-03-27
P0132,Face Wash V6,Beauty,Nike,4489,6789,7,265,3.7,2024-08-09
P0133,Perfume V1,Beauty,Apple,531,846,0,870,2.7,2025-08-01
P0134,Perfume V2,Beauty,Nestle,425,690,12,273,3.9,2025-02-01
P0135,Perfume V3,Beauty,Apple,983,1751,8,396,3.8,2024-09-22
P0136,Perfume V4,Beauty,Apple,4143,6244,11,916,4.9,2024-05-25
P0137,Perfume V5,Beauty,Apple,2228,3932,11,436,4.8,2026-04-29
P0138,Perfume V6,Beauty,Nike,970,1269,5,76,3.5,2025-08-03
P0139,Shampoo V1,Beauty,Puma,4902,7335,6,832,4.9,2024-07-06
P0140,Shampoo V2,Beauty,Puma,2018,2972,5,87,3.2,2025-04-16
P0141,Shampoo V3,Beauty,Boat,4928,7462,2,221,3.6,2024-08-24
P0142,Shampoo V4,Beauty,Nike,2652,4321,12,563,3.1,2026-03-17
P0143,Shampoo V5,Beauty,Puma,2449,3320,6,576,4.2,2025-02-07
P0144,Shampoo V6,Beauty,Samsung,1893,2605,7,458,4.1,2025-06-16
P0145,Serum V1,Beauty,Nestle,3809,6549,30,903,2.8,2026-03-08
P0146,Serum V2,Beauty,Samsung,4103,6308,0,87,3.2,2025-10-03
P0147,Serum V3,Beauty,Nike,1544,2350,34,515,4.7,2024-10-21
P0148,Serum V4,Beauty,Nike,2045,3494,0,501,3.8,2026-04-09
P0149,Serum V5,Beauty,LG,3325,4295,8,91,2.9,2025-04-02
P0150,Serum V6,Beauty,Nike,138,203,13,907,3.6,2025-01-15
P0151,Moisturizer V1,Beauty,Boat,2207,3540,29,913,4.3,2025-07-13
P0152,Moisturizer V2,Beauty,Samsung,3463,4983,9,628,4.8,2025-09-21
P0153,Moisturizer V3,Beauty,Apple,741,1099,6,905,3.9,2026-03-11
